,model_a_strength,model_b_divergence,model_c_cointegration
2025-01-15,0.0013963715380075686,0.0004570530313575542,-0.0001379579088485497
2025-01-16,0.0013729993603528304,1.190773042457602e-05,-0.00272707070595837
2025-01-17,0.004075630415676605,0.0036774819888474755,0.0014024471455664777
2025-01-20,-0.0002889949388582264,-0.00113045118646878,0.0
2025-01-21,0.00028240082597780236,0.000438987685905199,0.00011341716047161023
2025-01-22,0.00224402193474255,-0.0005426092055530389,0.008141456456005454
2025-01-23,0.002152648000651784,-5.1858886584251215e-05,0.00024380859768619284
2025-01-24,0.0003542048221776836,0.0,0.0
2025-01-27,-0.0010482401987672216,0.0027518819127824606,-0.00027419244104008426
2025-01-28,-0.0031644931151269735,-0.0008050866991997435,-0.0018674672196759927
2025-01-29,0.006550904376255561,0.0001000027175263358,0.0007179594261206403
2025-01-30,-0.0014726794060058472,-0.0005271995460139897,0.0
2025-01-31,0.0017025419713262123,0.0012701204598432724,0.002360182142726988
2025-02-03,0.0032587846502618104,0.0007215216196256209,0.003969301861508297
2025-02-04,0.0022901685666534576,0.00010309134343346504,0.004422375812778448
2025-02-05,0.0006248476507011886,-0.0002002774945592063,0.0012584125050581242
2025-02-06,0.0,-2.7548276931796174e-05,-2.7548276931796174e-05
2025-02-07,0.0,-0.001724563181983884,0.0
2025-02-10,0.00045477958727032915,4.769316301788666e-05,0.0
2025-02-11,0.0,0.0,0.0
2025-02-12,0.00029085230092720956,2.7055000368693035e-06,0.0
2025-02-13,0.00023031902111208028,0.0,0.0
2025-02-14,0.0006697940891018787,0.0,0.0
2025-02-17,0.00012162851996680272,0.00013886889502807422,0.0011105775063617533
2025-02-18,0.0,0.0003552498607026717,0.0
2025-02-19,0.0001833320932998638,6.977676061529021e-05,0.0
2025-02-20,5.0719672944188214e-05,0.0,0.0
2025-02-21,0.00014408190521560544,0.0,0.0
2025-02-24,0.0,-1.3329173347591009e-05,1.2597618284919002e-05
2025-02-25,0.0,0.0,0.00014558020595096825
2025-02-26,0.001257597408186113,0.0007889142968858701,0.0009016467451777239
2025-02-27,-0.00011741392830489278,0.0005699945183429325,0.0006510918276867236
2025-02-28,-0.000893493436932486,3.227604814930631e-06,3.227604814930631e-06
2025-03-03,-0.004365245088566346,8.155668251660964e-05,-1.6005093096796656e-05
2025-03-04,-0.0006678078795049755,0.0,0.0
2025-03-05,7.472765109806231e-05,0.0,0.0
